Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspireBitSchedule.ApiService\AspireBitSchedule.ApiService.csproj,File,AspireBitSchedule.ApiService\AspireBitSchedule.ApiService.csproj,,,Microsoft.AspNetCore.OpenApi 9.0.0,,,,,"Microsoft.AspNetCore.OpenApi, 9.0.0  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.8"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AspireBitSchedule.ApiService\AspireBitSchedule.ApiService.csproj,File,AspireBitSchedule.ApiService\AspireBitSchedule.ApiService.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AspireBitSchedule.ApiService\AspireBitSchedule.ApiService.csproj,File,AspireBitSchedule.ApiService\Program.cs,14,0,M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder),,,,,app.UseExceptionHandler();
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspireBitSchedule.AppHost\AspireBitSchedule.AppHost.csproj,File,AspireBitSchedule.AppHost\AspireBitSchedule.AppHost.csproj,,,Aspire.Hosting.AppHost 9.0.0,,,,,"Aspire.Hosting.AppHost, 9.0.0  Recommendation:  Remove Aspire.Hosting.AppHost, and replace with new package Aspire.Hosting.AppHost 13.3.5"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,AspireBitSchedule.AppHost\AspireBitSchedule.AppHost.csproj,File,AspireBitSchedule.AppHost\AspireBitSchedule.AppHost.csproj,,,Aspire.Hosting.AppHost 9.0.0,,,,,"Aspire.Hosting.AppHost, 9.0.0  Recommendation:  This version is out of support and is no longer maintained. Please upgrade to the latest version. See our support policy for details: https://aka.ms/dotent/aspire/support Remove Aspire.Hosting.AppHost, and replace with new package Aspire.Hosting.AppHost, 13.3.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AspireBitSchedule.AppHost\AspireBitSchedule.AppHost.csproj,File,AspireBitSchedule.AppHost\AspireBitSchedule.AppHost.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspireBitSchedule.ServiceDefaults\AspireBitSchedule.ServiceDefaults.csproj,File,AspireBitSchedule.ServiceDefaults\AspireBitSchedule.ServiceDefaults.csproj,,,Microsoft.Extensions.Http.Resilience 9.0.0,,,,,"Microsoft.Extensions.Http.Resilience, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Http.Resilience, and replace with new package Microsoft.Extensions.Http.Resilience 10.6.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspireBitSchedule.ServiceDefaults\AspireBitSchedule.ServiceDefaults.csproj,File,AspireBitSchedule.ServiceDefaults\AspireBitSchedule.ServiceDefaults.csproj,,,Microsoft.Extensions.ServiceDiscovery 9.0.0,,,,,"Microsoft.Extensions.ServiceDiscovery, 9.0.0  Recommendation:  Remove Microsoft.Extensions.ServiceDiscovery, and replace with new package Microsoft.Extensions.ServiceDiscovery 10.6.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspireBitSchedule.ServiceDefaults\AspireBitSchedule.ServiceDefaults.csproj,File,AspireBitSchedule.ServiceDefaults\AspireBitSchedule.ServiceDefaults.csproj,,,OpenTelemetry.Instrumentation.AspNetCore 1.9.0,,,,,"OpenTelemetry.Instrumentation.AspNetCore, 1.9.0  Recommendation:  Remove OpenTelemetry.Instrumentation.AspNetCore, and replace with new package OpenTelemetry.Instrumentation.AspNetCore 1.15.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AspireBitSchedule.ServiceDefaults\AspireBitSchedule.ServiceDefaults.csproj,File,AspireBitSchedule.ServiceDefaults\AspireBitSchedule.ServiceDefaults.csproj,,,OpenTelemetry.Instrumentation.Http 1.9.0,,,,,"OpenTelemetry.Instrumentation.Http, 1.9.0  Recommendation:  Remove OpenTelemetry.Instrumentation.Http, and replace with new package OpenTelemetry.Instrumentation.Http 1.15.1"
